song_name,song_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,audio_valence
díganle - tainy remix,0.75,0.10240871933423064,0.851063829787234,0.7895643983044903,0.0,0.09090909090909091,0.3057122346426007,0.8443734047034916,0.0,0.10085015940488842,0.3797406713492188,0.6290650406504066
sangria wine,0.75,0.1817260696391476,0.8419452887537994,0.7134067519765915,0.0,0.09090909090909091,0.047482309506717266,0.8703689936312047,0.0,0.09989373007438895,0.5451885538837395,0.7012195121951219
all day,0.45,0.08001913817220978,0.8358662613981763,0.48092551581774273,0.0,0.18181818181818182,0.23392472566916211,0.7476024087428444,1.0,0.04208289054197663,0.4995336706311541,0.7733739837398375
just as i am,0.53,0.235942992632382,0.6909827760891591,0.7514855751405409,0.0,0.7272727272727273,0.10163060198953953,0.8166926870368993,0.0,0.07173219978746016,0.5362251256613211,0.7195121951219512
nice & slow,0.38,0.00696685452428877,0.8095238095238096,0.6162055454791419,0.002377131394182548,0.4545454545454546,0.27904830273818065,0.8467524099819097,0.0,0.04410201912858662,0.5241996054771003,0.7083333333333334
scooby doo pa pa (remix),0.6,0.19678632602615717,0.933130699088146,0.9659294740112032,0.00020160481444333,0.09090909090909091,0.3200697364372885,0.9261269298441256,1.0,0.18916046758767271,0.4989394101965186,0.5152439024390244
don t werk,0.39,0.10843282188903447,0.7122593718338399,0.6172076197729299,5.626880641925778e-05,0.6363636363636364,0.2667418726284484,0.7443312764850197,1.0,0.07768331562167907,0.508253617147715,0.4420731707317074
"1, 2, 3 (feat. jason derulo & de la ghetto)",0.88,0.16566179615967078,0.8024316109422494,0.8957842734460333,0.0,0.09090909090909091,0.04020100502512562,0.8836022104924045,0.0,0.06259298618490967,0.3919147566420984,0.8069105691056911
pa mi (with ozuna),0.77,0.09869385609210163,0.6038500506585613,0.5570831621456416,0.0,0.09090909090909091,0.04676443441698287,0.7743166555150794,0.0,0.1424017003188098,0.5498848620407895,0.6717479674796749
lo siento,0.68,0.07078218092151058,0.7558257345491388,0.7384586093212951,0.0,0.8181818181818182,0.03291970054353399,0.8697742423116002,1.0,0.2199787460148778,0.3912544672702812,0.6402439024390244
nuestra cancion pt. 2 (feat. arcángel),0.46,0.007930710933057382,0.49949341438703143,0.8256390728808634,0.0,0.7272727272727273,0.12111578299661573,0.8602086585879613,1.0,0.08480340063761956,0.4121278650368524,0.6310975609756098
la hora loca,0.44,0.043071309169413,0.8470111448834853,0.7254316435020493,0.0,0.6363636363636364,0.09957953030458415,0.8257874259658513,0.0,0.06068012752391074,0.5201223186061291,0.7723577235772359
dinero - english version,0.37,0.004376490425723127,0.7102330293819655,0.779543655366609,0.0,1.0,0.11291149625679417,0.8453150942928654,0.0,0.06875664187035069,0.49510973183997886,0.45833333333333337
pum pum (feat. kap g & play-n-skillz),0.53,0.14959752268019388,0.8824721377912867,0.5630956079083703,0.0,0.9090909090909092,0.047072095169726186,0.7543181423933785,0.0,0.08448459086078641,0.37965813517774166,0.6300813008130082
hora loca,0.65,0.05090264249065797,0.6585612968591693,0.801589289829948,0.0,0.6363636363636364,0.05496872115680443,0.8267291155552251,0.0,0.07683315621679065,0.685710512632161,0.7520325203252033
better with you,0.68,0.26606350540640117,0.7943262411347518,0.43683424689106454,7.001003009027081e-05,0.4545454545454546,0.11803917546918265,0.7657423239907813,1.0,0.05409139213602551,0.37142515207289595,0.47764227642276424
nights like these,0.59,0.13353324920071705,0.5005065856129686,0.7294399406772019,0.0,0.18181818181818182,0.13547328479130344,0.8384506728124304,1.0,0.17109458023379387,0.3253287003029077,0.42784552845528456
alright,0.43,0.019978916042665024,0.56838905775076,0.5801308709027687,0.0,0.4545454545454546,0.052302327966362416,0.8216489480336034,1.0,0.04399574920297556,0.3506961926064098,0.29878048780487804
insecure,0.53,0.3704812830230007,0.4893617021276596,0.6853486717505236,0.0,0.9090909090909092,0.07260793764742077,0.880628453894382,0.0,0.18490967056323063,0.7655312440677127,0.5548780487804879
si una vez - (if i once)[spanglish version],0.54,0.07650507834857422,0.6281661600810537,0.8236349242932871,3.1394182547642934e-05,0.4545454545454546,0.10368167367449493,0.9003543726612644,1.0,0.06025504782146653,0.7259922911215839,0.410569105691057
finesse (remix) [feat. cardi b],0.84,0.018573292113210797,0.713272543059777,0.8597095988696603,0.0,0.4545454545454546,0.010870679930263558,0.839863207196491,0.0,0.10584484590860788,0.43378948324103034,0.9410569105691058
belong to u,0.44,0.5883529920884055,0.6413373860182371,0.7655146152535749,6.910732196589768e-05,0.09090909090909091,0.08788842170033843,0.818675191435581,1.0,0.050371944739638685,0.4165352965937322,0.4969512195121952
sunny daze,0.4,0.5712847015164614,0.8642350557244175,0.7144088262703797,0.010130391173520562,0.6363636363636364,0.06225002563839606,0.8076475107179144,1.0,0.08150903294367695,0.3812139420100859,0.8495934959349594
"uno más feat. pharrell williams, miguel, wiz khalifa, j alvarez (remix)",0.41000000000000003,0.06546089033143387,0.8105369807497468,0.8376639644063211,4.533600802407222e-05,0.6363636363636364,0.060506614706183987,0.8495031348350804,1.0,0.10520722635494156,0.433422197277957,0.826219512195122
island,0.37,0.1184729928137075,0.7527862208713273,0.7935726954796429,6.0882647943831494e-05,0.18181818181818182,0.2216182955594298,0.8360221049240453,0.0,0.058023379383634444,0.4536229252469895,0.44105691056910573
crazy in love,0.79,0.002498978462809269,0.6545086119554205,0.7705249867225157,0.0,0.18181818181818182,0.06214747205414829,0.7972641439298194,0.0,0.2401700318809777,0.4092349722265783,0.6920731707317074
